Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier,Method_Signature,Earliest_bound,Latest_bound,CodeAnnotation,LOC
Errors.NoValueAssigned.serialVersionUID,3,Field,Errors,NoValueAssigned,serialVersionUID,PLUGIN,FALSE,TRUE,,TRUE,FALSE,Errors.NoValueAssigned.serialVersionUID belongs to PLUGIN because it's the only feature in bounds.   ,,final static ,,PLUGIN,PLUGIN,null,1
Errors.NoValueAssigned.NoValueAssigned(String error),5,Constructor,Errors,NoValueAssigned,NoValueAssigned(String error),PLUGIN,FALSE,TRUE,,TRUE,FALSE,Errors.NoValueAssigned.NoValueAssigned(String error) belongs to PLUGIN because it's the only feature in bounds.   ,,public ,NoValueAssigned(String),PLUGIN,PLUGIN,null,3
GatesApp.Feature.base,3,Field,GatesApp,Feature,base,PLUGIN,FALSE,TRUE,,TRUE,FALSE,GatesApp.Feature.base; BttF says it's a member of an Annotation GatesApp.Feature THEN it also has to belong to PLUGIN   ,,public final static ,,PLUGIN,PLUGIN,null,1
GatesApp.Feature,2,Class,GatesApp,Feature,,PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,0
GatesApp.Feature.tables,3,Field,GatesApp,Feature,tables,PLUGIN,FALSE,TRUE,,TRUE,FALSE,GatesApp.Feature.tables; BttF says it's a member of an Annotation GatesApp.Feature THEN it also has to belong to PLUGIN   ,,public final static ,,PLUGIN,PLUGIN,null,1
GatesApp.Feature.constraints,3,Field,GatesApp,Feature,constraints,PLUGIN,FALSE,TRUE,,TRUE,FALSE,GatesApp.Feature.constraints; BttF says it's a member of an Annotation GatesApp.Feature THEN it also has to belong to PLUGIN   ,,public final static ,,PLUGIN,PLUGIN,null,1
GatesApp.Feature.eval,3,Field,GatesApp,Feature,eval,PLUGIN,FALSE,TRUE,,TRUE,FALSE,GatesApp.Feature.eval; BttF says it's a member of an Annotation GatesApp.Feature THEN it also has to belong to PLUGIN   ,,public final static ,,PLUGIN,PLUGIN,null,1
GatesApp.Main,2,Class,GatesApp,Main,,PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,70
GatesApp,1,Package,GatesApp,,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,0
GatesApp.Main.main(String[] args),4,Method,GatesApp,Main,main(String[] args),PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,public static ,main(String[]),PLUGIN,PLUGIN,null,7
GatesApp.Main.aCircuit(),4,Method,GatesApp,Main,aCircuit(),PLUGIN,FALSE,TRUE,,TRUE,FALSE,GatesApp.Main.aCircuit() belongs to PLUGIN because it's the only feature in bounds.   ,,public static ,aCircuit(),PLUGIN,PLUGIN,null,55
GatesApp.Value,2,Class,GatesApp,Value,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,GatesApp.Value; BttF says a method of a non-terminal class references it GatesApp.Value THEN it also has to belong to FRAMEWORK   ,,public final ,,FRAMEWORK,FRAMEWORK,null,5
GatesApp.Value.TRUE,3,Field,GatesApp,Value,TRUE,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,GatesApp.Value.TRUE; BttF says it's a member of an Enum GatesApp.Value THEN it also has to belong to FRAMEWORK   ,,public final static ,,FRAMEWORK,PLUGIN,null,1
GatesApp.Value.FALSE,3,Field,GatesApp,Value,FALSE,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,GatesApp.Value.FALSE; BttF says it's a member of an Enum GatesApp.Value THEN it also has to belong to FRAMEWORK   ,,public final static ,,FRAMEWORK,PLUGIN,null,1
GatesApp.MainTest,2,Class,GatesApp,MainTest,,PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,13
GatesApp.MainTest.MainTest(),5,Constructor,GatesApp,MainTest,MainTest(),PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,public ,MainTest(),PLUGIN,PLUGIN,null,2
GatesApp.MainTest.h2Example(),4,Method,GatesApp,MainTest,h2Example(),PLUGIN,FALSE,TRUE,,TRUE,FALSE,GatesApp.MainTest.h2Example() belongs to PLUGIN because it's the only feature in bounds.   ,,public ,h2Example(),PLUGIN,PLUGIN,@Test,72
GatesApp.MainTest.aEQb(),4,Method,GatesApp,MainTest,aEQb(),PLUGIN,FALSE,TRUE,,TRUE,FALSE,GatesApp.MainTest.aEQb() belongs to PLUGIN because it's the only feature in bounds.   ,,public ,aEQb(),PLUGIN,PLUGIN,@Test,61
GatesApp.MainTest.aNEb(),4,Method,GatesApp,MainTest,aNEb(),PLUGIN,FALSE,TRUE,,TRUE,FALSE,GatesApp.MainTest.aNEb() belongs to PLUGIN because it's the only feature in bounds.   ,,public ,aNEb(),PLUGIN,PLUGIN,@Test,63
GatesApp.Value.UNKNOWN,3,Field,GatesApp,Value,UNKNOWN,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,GatesApp.Value.UNKNOWN; BttF says it's a member of an Enum GatesApp.Value THEN it also has to belong to FRAMEWORK   ,,public final static ,,FRAMEWORK,PLUGIN,null,1
Pins.InputPin,2,Class,Pins,InputPin,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,Pins.InputPin belongs to FRAMEWORK because it's the only feature in bounds.   Pins.InputPin; BttF says a method of a non-terminal class references it Pins.InputPin THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,38
Pins,1,Package,Pins,,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,0
Pins.InputPin.name,3,Field,Pins,InputPin,name,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,Pins.InputPin.name; BttF says a method of a non-terminal class references it Pins.InputPin.name THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,1
Pins.InputPin.inputOf,3,Field,Pins,InputPin,inputOf,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,1
Pins.InputPin.wireFrom,3,Field,Pins,InputPin,wireFrom,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,1
Pins.InputPin.InputPin(String name; Gate parent),5,Constructor,Pins,InputPin,InputPin(String name; Gate parent),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,InputPin(String; Gate),FRAMEWORK,PLUGIN,null,5
Pins.InputPin.addWire(Wire w),4,Method,Pins,InputPin,addWire(Wire w),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,addWire(Wire),FRAMEWORK,PLUGIN,null,5
Pins.OutputPin,2,Class,Pins,OutputPin,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,Pins.OutputPin belongs to FRAMEWORK because it's the only feature in bounds.   Pins.OutputPin; BttF says a method of a non-terminal class references it Pins.OutputPin THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,37
Pins.OutputPin.name,3,Field,Pins,OutputPin,name,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,Pins.OutputPin.name; BttF says a method of a non-terminal class references it Pins.OutputPin.name THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,1
Pins.InputPin.toString(),4,Method,Pins,InputPin,toString(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,toString(),FRAMEWORK,PLUGIN,null,3
Pins.InputPin.isUsed(),4,Method,Pins,InputPin,isUsed(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,Pins.InputPin.isUsed(); BttF says a method of a non-terminal class references it Pins.InputPin.isUsed() THEN it also has to belong to FRAMEWORK   ,,public ,isUsed(),FRAMEWORK,FRAMEWORK,null,3
Pins.InputPin.nameOfGate(),4,Method,Pins,InputPin,nameOfGate(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,Pins.InputPin.nameOfGate(); BttF says a method of a non-terminal class references it Pins.InputPin.nameOfGate() THEN it also has to belong to FRAMEWORK   ,,public ,nameOfGate(),FRAMEWORK,FRAMEWORK,null,3
Pins.InputPin.getValue(),4,Method,Pins,InputPin,getValue(),PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,public ,getValue(),FRAMEWORK,PLUGIN,null,3
Pins.OutputPin.value,3,Field,Pins,OutputPin,value,PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,1
Pins.OutputPin.outputOf,3,Field,Pins,OutputPin,outputOf,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,1
Pins.OutputPin.wiresFrom,3,Field,Pins,OutputPin,wiresFrom,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,1
Pins.OutputPin.OutputPin(String name; Gate parent),5,Constructor,Pins,OutputPin,OutputPin(String name; Gate parent),PLUGIN,FALSE,FALSE,,TRUE,FALSE,, Gate parent) is hook because calls element(s) classified in future features   Hook Pins.OutputPin.OutputPin(String name,public ,OutputPin(String; Gate),FRAMEWORK,PLUGIN,null,6
Pins.OutputPin.addWire(Wire w),4,Method,Pins,OutputPin,addWire(Wire w),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,addWire(Wire),FRAMEWORK,PLUGIN,null,3
Pins.OutputPin.toString(),4,Method,Pins,OutputPin,toString(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,toString(),FRAMEWORK,PLUGIN,null,3
Pins.OutputPin.nameOfGate(),4,Method,Pins,OutputPin,nameOfGate(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,Pins.OutputPin.nameOfGate(); BttF says a method of a non-terminal class references it Pins.OutputPin.nameOfGate() THEN it also has to belong to FRAMEWORK   ,,public ,nameOfGate(),FRAMEWORK,FRAMEWORK,null,3
Pins.OutputPin.isUsed(),4,Method,Pins,OutputPin,isUsed(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,Pins.OutputPin.isUsed(); BttF says a method of a non-terminal class references it Pins.OutputPin.isUsed() THEN it also has to belong to FRAMEWORK   ,,public ,isUsed(),FRAMEWORK,FRAMEWORK,null,3
Pins.OutputPin.getValue(),4,Method,Pins,OutputPin,getValue(),PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,public ,getValue(),FRAMEWORK,PLUGIN,null,3
RegTest,1,Package,RegTest,,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,0
RegTest.Utility,2,Class,RegTest,Utility,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,RegTest.Utility; BttF says a static method of a framework class references it RegTest.Utility THEN it also has to belong to FRAMEWORK   RegTest.Utility; BttF says a static method of a framework class references it RegTest.Utility THEN it also has to belong to FRAMEWORK   RegTest.Utility; BttF says a static method of a framework class references it RegTest.Utility THEN it also has to belong to FRAMEWORK   RegTest.Utility; BttF says a static method of a framework class references it RegTest.Utility THEN it also has to belong to FRAMEWORK   RegTest.Utility; BttF says a static method of a framework class references it RegTest.Utility THEN it also has to belong to FRAMEWORK   RegTest.Utility; BttF says a static method of a framework class references it RegTest.Utility THEN it also has to belong to FRAMEWORK   RegTest.Utility; BttF says a static method of a framework class references it RegTest.Utility THEN it also has to belong to FRAMEWORK   RegTest.Utility; BttF says a static method of a framework class references it RegTest.Utility THEN it also has to belong to FRAMEWORK   RegTest.Utility; BttF says a static method of a framework class references it RegTest.Utility THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,PLUGIN,null,183
RegTest.Utility.init(),4,Method,RegTest,Utility,init(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public static ,init(),FRAMEWORK,PLUGIN,null,6
RegTest.Utility.redirectStdOut(String outputFile),4,Method,RegTest,Utility,redirectStdOut(String outputFile),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public static ,redirectStdOut(String),FRAMEWORK,PLUGIN,null,9
RegTest.Utility.validate(String outputFile; String correctFile; boolean sortedTest),4,Method,RegTest,Utility,validate(String outputFile; String correctFile; boolean sortedTest),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,RegTest.Utility.validate(String outputFile; String correctFile; boolean sortedTest); BttF says a static method of a framework class references it RegTest.Utility.validate(String outputFile; String correctFile; boolean sortedTest) THEN it also has to belong to FRAMEWORK   ,,public static ,validate(String; String; boolean),FRAMEWORK,PLUGIN,null,3
RegTest.Utility.autopsy,3,Field,RegTest,Utility,autopsy,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,RegTest.Utility.autopsy; BttF says a static method of a framework class references it RegTest.Utility.autopsy THEN it also has to belong to FRAMEWORK   ,,public static ,,FRAMEWORK,PLUGIN,null,1
RegTest.Utility.Utility(),5,Constructor,RegTest,Utility,Utility(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,private ,Utility(),FRAMEWORK,PLUGIN,null,2
RegTest.Utility.sortFile(String inFileName; String outFileName; String[] eliminate),4,Method,RegTest,Utility,sortFile(String inFileName; String outFileName; String[] eliminate),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,RegTest.Utility.sortFile(String inFileName; String outFileName; String[] eliminate); BttF says a static method of a framework class references it RegTest.Utility.sortFile(String inFileName; String outFileName; String[] eliminate) THEN it also has to belong to FRAMEWORK   RegTest.Utility.sortFile(String inFileName; String outFileName; String[] eliminate); BttF says a static method of a framework class references it RegTest.Utility.sortFile(String inFileName; String outFileName; String[] eliminate) THEN it also has to belong to FRAMEWORK   ,,private static ,sortFile(String; String; String[]),FRAMEWORK,PLUGIN,null,30
RegTest.Utility.compareFiles(String fileA; String fileB; String fileMsg; String[] eliminate),4,Method,RegTest,Utility,compareFiles(String fileA; String fileB; String fileMsg; String[] eliminate),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,RegTest.Utility.compareFiles(String fileA; String fileB; String fileMsg; String[] eliminate); BttF says a static method of a framework class references it RegTest.Utility.compareFiles(String fileA; String fileB; String fileMsg; String[] eliminate) THEN it also has to belong to FRAMEWORK   RegTest.Utility.compareFiles(String fileA; String fileB; String fileMsg; String[] eliminate); BttF says a static method of a framework class references it RegTest.Utility.compareFiles(String fileA; String fileB; String fileMsg; String[] eliminate) THEN it also has to belong to FRAMEWORK   ,,private static ,compareFiles(String; String; String; String[]),FRAMEWORK,PLUGIN,null,42
RegTest.Utility.originalErr,3,Field,RegTest,Utility,originalErr,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,RegTest.Utility.originalErr; BttF says a static method of a framework class references it RegTest.Utility.originalErr THEN it also has to belong to FRAMEWORK   RegTest.Utility.originalErr; BttF says a static method of a framework class references it RegTest.Utility.originalErr THEN it also has to belong to FRAMEWORK   RegTest.Utility.originalErr; BttF says a static method of a framework class references it RegTest.Utility.originalErr THEN it also has to belong to FRAMEWORK   RegTest.Utility.originalErr; BttF says a static method of a framework class references it RegTest.Utility.originalErr THEN it also has to belong to FRAMEWORK   ,,private static ,,FRAMEWORK,PLUGIN,null,1
RegTest.Utility.originalOut,3,Field,RegTest,Utility,originalOut,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,RegTest.Utility.originalOut; BttF says a static method of a framework class references it RegTest.Utility.originalOut THEN it also has to belong to FRAMEWORK   RegTest.Utility.originalOut; BttF says a static method of a framework class references it RegTest.Utility.originalOut THEN it also has to belong to FRAMEWORK   RegTest.Utility.originalOut; BttF says a static method of a framework class references it RegTest.Utility.originalOut THEN it also has to belong to FRAMEWORK   ,,private static ,,FRAMEWORK,PLUGIN,null,1
RegTest.Utility.outfile,3,Field,RegTest,Utility,outfile,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,RegTest.Utility.outfile; BttF says a static method of a framework class references it RegTest.Utility.outfile THEN it also has to belong to FRAMEWORK   RegTest.Utility.outfile; BttF says a static method of a framework class references it RegTest.Utility.outfile THEN it also has to belong to FRAMEWORK   RegTest.Utility.outfile; BttF says a static method of a framework class references it RegTest.Utility.outfile THEN it also has to belong to FRAMEWORK   ,,private static ,,FRAMEWORK,PLUGIN,null,1
RegTest.Utility.errfile,3,Field,RegTest,Utility,errfile,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,RegTest.Utility.errfile; BttF says a static method of a framework class references it RegTest.Utility.errfile THEN it also has to belong to FRAMEWORK   RegTest.Utility.errfile; BttF says a static method of a framework class references it RegTest.Utility.errfile THEN it also has to belong to FRAMEWORK   RegTest.Utility.errfile; BttF says a static method of a framework class references it RegTest.Utility.errfile THEN it also has to belong to FRAMEWORK   ,,private static ,,FRAMEWORK,PLUGIN,null,1
RegTest.Utility.redirectStdErr(String outputFile),4,Method,RegTest,Utility,redirectStdErr(String outputFile),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public static ,redirectStdErr(String),FRAMEWORK,PLUGIN,null,9
RegTest.Utility.sortedOut,3,Field,RegTest,Utility,sortedOut,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,RegTest.Utility.sortedOut; BttF says a static method of a framework class references it RegTest.Utility.sortedOut THEN it also has to belong to FRAMEWORK   RegTest.Utility.sortedOut; BttF says a static method of a framework class references it RegTest.Utility.sortedOut THEN it also has to belong to FRAMEWORK   ,,private final static ,,FRAMEWORK,PLUGIN,null,1
RegTest.Utility.sortedCorrect,3,Field,RegTest,Utility,sortedCorrect,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,RegTest.Utility.sortedCorrect; BttF says a static method of a framework class references it RegTest.Utility.sortedCorrect THEN it also has to belong to FRAMEWORK   RegTest.Utility.sortedCorrect; BttF says a static method of a framework class references it RegTest.Utility.sortedCorrect THEN it also has to belong to FRAMEWORK   ,,private final static ,,FRAMEWORK,PLUGIN,null,1
RegTest.Utility.done(),4,Method,RegTest,Utility,done(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,RegTest.Utility.done(); BttF says a static method of a framework class references it RegTest.Utility.done() THEN it also has to belong to FRAMEWORK   RegTest.Utility.done(); BttF says a static method of a framework class references it RegTest.Utility.done() THEN it also has to belong to FRAMEWORK   ,,private static ,done(),FRAMEWORK,PLUGIN,null,24
RegTest.Utility.validate(String outputFile; String correctFile; boolean sortedTest; String[] eliminate),4,Method,RegTest,Utility,validate(String outputFile; String correctFile; boolean sortedTest; String[] eliminate),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,RegTest.Utility.validate(String outputFile; String correctFile; boolean sortedTest; String[] eliminate); BttF says a static method of a framework class references it RegTest.Utility.validate(String outputFile; String correctFile; boolean sortedTest; String[] eliminate) THEN it also has to belong to FRAMEWORK   RegTest.Utility.validate(String outputFile; String correctFile; boolean sortedTest; String[] eliminate); BttF says a static method of a framework class references it RegTest.Utility.validate(String outputFile; String correctFile; boolean sortedTest; String[] eliminate) THEN it also has to belong to FRAMEWORK   RegTest.Utility.validate(String outputFile; String correctFile; boolean sortedTest; String[] eliminate); BttF says a static method of a framework class references it RegTest.Utility.validate(String outputFile; String correctFile; boolean sortedTest; String[] eliminate) THEN it also has to belong to FRAMEWORK   ,,public static ,validate(String; String; boolean; String[]),FRAMEWORK,PLUGIN,null,14
RegTest.Utility.validate(String outputFile; boolean sortedTest),4,Method,RegTest,Utility,validate(String outputFile; boolean sortedTest),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public static ,validate(String; boolean),FRAMEWORK,PLUGIN,null,3
RegTest.Utility.validate(String outputFile; boolean sortedTest; String[] eliminate),4,Method,RegTest,Utility,validate(String outputFile; boolean sortedTest; String[] eliminate),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public static ,validate(String; boolean; String[]),FRAMEWORK,PLUGIN,null,3
logicGates,1,Package,logicGates,,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,0
logicGates.Gate,2,Class,logicGates,Gate,,FRAMEWORK,FALSE,TRUE,,FALSE,FALSE,logicGates.Gate belongs to FRAMEWORK because it's the only feature in bounds.   logicGates.Gate; BttF says a method of a non-terminal class references it logicGates.Gate THEN it also has to belong to FRAMEWORK   logicGates.Gate; BttF says a static method of a framework class references it logicGates.Gate THEN it also has to belong to FRAMEWORK   ,,public abstract ,,FRAMEWORK,FRAMEWORK,null,131
logicGates.InputPort,2,Class,logicGates,InputPort,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.InputPort; BttF says a static method of a framework class references it logicGates.InputPort THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,41
logicGates.OutputPort,2,Class,logicGates,OutputPort,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.OutputPort; BttF says a static method of a framework class references it logicGates.OutputPort THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,33
logicGates.Not,2,Class,logicGates,Not,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Not; BttF says a static method of a framework class references it logicGates.Not THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,34
logicGates.And,2,Class,logicGates,And,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.And; BttF says a static method of a framework class references it logicGates.And THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,43
logicGates.Or,2,Class,logicGates,Or,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Or; BttF says a static method of a framework class references it logicGates.Or THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,39
logicGates.Wire,2,Class,logicGates,Wire,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Wire; BttF says a static method of a framework class references it logicGates.Wire THEN it also has to belong to FRAMEWORK   logicGates.Wire belongs to FRAMEWORK because it's the only feature in bounds.   ,,public ,,FRAMEWORK,FRAMEWORK,null,64
logicGates.Gate.resetDB(),4,Method,logicGates,Gate,resetDB(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.resetDB(); BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   logicGates.Gate.resetDB(); BttF says it's a hook because it references declaration(s) classified in future features   logicGates.Gate.resetDB(); BttF says it's no longer a hook; called element(s) got reclassified   ,,public static ,resetDB(),FRAMEWORK,PLUGIN,null,8
logicGates.Gate.printDB(),4,Method,logicGates,Gate,printDB(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.printDB(); BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   logicGates.Gate.printDB(); BttF says it's a hook because it references declaration(s) classified in future features   logicGates.Gate.printDB(); BttF says it's no longer a hook; called element(s) got reclassified   ,,public static ,printDB(),FRAMEWORK,PLUGIN,null,8
logicGates.Gate.verify(),4,Method,logicGates,Gate,verify(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,logicGates.Gate.verify(); BttF says it's a member of non-terminal class logicGates.Gate THEN it also has to belong to FRAMEWORK   logicGates.Gate.verify(); BttF says it's a hook because it references declaration(s) classified in future features   logicGates.Gate.verify(); BttF says it's no longer a hook; called element(s) got reclassified   ,,public static ,verify(),FRAMEWORK,PLUGIN,null,9
logicGates.InputPort.setValue(Value v),4,Method,logicGates,InputPort,setValue(Value v),PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,public ,setValue(Value),FRAMEWORK,PLUGIN,null,3
logicGates.OutputPort.getValue(),4,Method,logicGates,OutputPort,getValue(),PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,public ,getValue(),FRAMEWORK,PLUGIN,null,3
