Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier,Method_Signature
guidsl.AstNode.visit(Visitor v),4,Method,guidsl,AstNode,visit(Visitor v),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,visit(Visitor)
guidsl.Visitor.action(Model n),4,Method,guidsl,Visitor,action(Model n),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,action(Model)
guidsl.dparser,2,Class,guidsl,dparser,,TOOL,TRUE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.dparser.fileToken,3,Field,guidsl,dparser,fileToken,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.fileToken; BttF says it's a child of guidsl.dparser THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.fileTokenLength,3,Field,guidsl,dparser,fileTokenLength,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.fileTokenLength; BttF says it's a child of guidsl.dparser THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.falseToken,3,Field,guidsl,dparser,falseToken,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.falseToken; BttF says it's a child of guidsl.dparser THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.falseTokenLength,3,Field,guidsl,dparser,falseTokenLength,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.falseTokenLength; BttF says it's a child of guidsl.dparser THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.trueToken,3,Field,guidsl,dparser,trueToken,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.trueToken; BttF says it's a child of guidsl.dparser THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.trueTokenLength,3,Field,guidsl,dparser,trueTokenLength,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.trueTokenLength; BttF says it's a child of guidsl.dparser THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.endToken,3,Field,guidsl,dparser,endToken,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.endToken; BttF says it's a child of guidsl.dparser THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.endTokenLength,3,Field,guidsl,dparser,endTokenLength,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.endTokenLength; BttF says it's a child of guidsl.dparser THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.incompleteToken,3,Field,guidsl,dparser,incompleteToken,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.incompleteToken; BttF says it's a child of guidsl.dparser THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.incompleteTokenLength,3,Field,guidsl,dparser,incompleteTokenLength,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.incompleteTokenLength; BttF says it's a child of guidsl.dparser THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.completeToken,3,Field,guidsl,dparser,completeToken,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.completeToken; BttF says it's a child of guidsl.dparser THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.completeTokenLength,3,Field,guidsl,dparser,completeTokenLength,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.completeTokenLength; BttF says it's a child of guidsl.dparser THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.comment,3,Field,guidsl,dparser,comment,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.comment; BttF says it's a child of guidsl.dparser THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.stack,3,Field,guidsl,dparser,stack,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.stack; BttF says it's a child of guidsl.dparser THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.filename,3,Field,guidsl,dparser,filename,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.filename; BttF says it's a child of guidsl.dparser THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.lineno,3,Field,guidsl,dparser,lineno,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.lineno; BttF says it's a child of guidsl.dparser THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.l,3,Field,guidsl,dparser,l,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.l; BttF says it's a child of guidsl.dparser THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.dparser(String fname),5,Constructor,guidsl,dparser,dparser(String fname),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.dparser(String fname); BttF says since it calls fprivate guidsl.dparseException THEN it also belongs to TOOL   ,set by GuiDSLSol,package-private,dparser(String)
guidsl.dparseException,2,Class,guidsl,dparseException,,TOOL,TRUE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.dparser.getNextTest(),4,Method,guidsl,dparser,getNextTest(),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.getNextTest(); BttF says since it calls fprivate guidsl.SATtest.name THEN it also belongs to TOOL   ,set by GuiDSLSol,public,getNextTest()
guidsl.SATtest,2,Class,guidsl,SATtest,,TOOL,TRUE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.SATtest.name,3,Field,guidsl,SATtest,name,TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.SATtest.name; BttF says it's a child of guidsl.SATtest THEN it also is fprivate of TOOL   ,set by GuiDSLSol,package-private,
guidsl.dparser.tokenizeLine(String line; SATtest t),4,Method,guidsl,dparser,tokenizeLine(String line; SATtest t),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.dparser.tokenizeLine(String line; SATtest t); BttF says since it calls fprivate guidsl.SATtest.isComplete() THEN it also belongs to TOOL   ,set by GuiDSLSol,package-private,tokenizeLine(String; SATtest)
guidsl.SATtest.isComplete(),4,Method,guidsl,SATtest,isComplete(),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.SATtest.isComplete(); BttF says since it calls fprivate guidsl.SATtest.completeTest THEN it also belongs to TOOL   ,set by GuiDSLSol,public,isComplete()
guidsl.SATtest.add(Object o),4,Method,guidsl,SATtest,add(Object o),TOOL,TRUE,TRUE,,TRUE,FALSE,guidsl.SATtest.add(Object o); BttF says since it calls fprivate guidsl.SATtest.selections THEN it also belongs to TOOL   ,set by GuiDSLSol,public,add(Object)
guidsl.AvarListElem,2,Class,guidsl,AvarListElem,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.AstListNode,2,Class,guidsl,AstListNode,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.AvarListElem.getAvar(),4,Method,guidsl,AvarListElem,getAvar(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,getAvar()
guidsl.Avar,2,Class,guidsl,Avar,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.AvarListElem.setParms(Avar arg0),4,Method,guidsl,AvarListElem,setParms(Avar arg0),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,setParms(Avar)
guidsl.star,2,Class,guidsl,star,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.term,2,Class,guidsl,term,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.star.star(String name),5,Constructor,guidsl,star,star(String name),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,star(String)
guidsl.term.term(String name),5,Constructor,guidsl,term,term(String name),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,term(String)
guidsl.star.draw(int several),4,Method,guidsl,star,draw(int several),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,draw(int)
guidsl.term.draw(int several),4,Method,guidsl,term,draw(int several),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,draw(int)
guidsl.star.visit(GVisitor v),4,Method,guidsl,star,visit(GVisitor v),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,visit(GVisitor)
guidsl.term.visit(GVisitor v),4,Method,guidsl,term,visit(GVisitor v),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,visit(GVisitor)
guidsl.pattern,2,Class,guidsl,pattern,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.pattern.current,3,Field,guidsl,pattern,current,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.pattern.terms,3,Field,guidsl,pattern,terms,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.GVisitor,2,Class,guidsl,GVisitor,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.GVisitor.action(star n),4,Method,guidsl,GVisitor,action(star n),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,action(star)
guidsl.gObj,2,Class,guidsl,gObj,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.variable,2,Class,guidsl,variable,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.gObj.var,3,Field,guidsl,gObj,var,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.variable.hidden,3,Field,guidsl,variable,hidden,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.production,2,Class,guidsl,production,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.term.prod,3,Field,guidsl,term,prod,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.production.draw(int several),4,Method,guidsl,production,draw(int several),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,draw(int)
guidsl.NExpr,2,Class,guidsl,NExpr,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.AExpr,2,Class,guidsl,AExpr,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.NExpr.visit(Visitor v),4,Method,guidsl,NExpr,visit(Visitor v),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,visit(Visitor)
guidsl.AExpr.visit(Visitor v),4,Method,guidsl,AExpr,visit(Visitor v),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,visit(Visitor)
guidsl.Visitor.action(NExpr n),4,Method,guidsl,Visitor,action(NExpr n),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,action(NExpr)
guidsl.AstNode.right,3,Field,guidsl,AstNode,right,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.AstNode.left,3,Field,guidsl,AstNode,left,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.AstNode.up,3,Field,guidsl,AstNode,up,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.AstNode.stackMarker,3,Field,guidsl,AstNode,stackMarker,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.AstNode.printorder(),4,Method,guidsl,AstNode,printorder(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,printorder()
guidsl.AstNode.obj_class,3,Field,guidsl,AstNode,obj_class,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,private,
guidsl.AstNode.aliasStack,3,Field,guidsl,AstNode,aliasStack,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.AstNode.markStack(int size; AstNode n),4,Method,guidsl,AstNode,markStack(int size; AstNode n),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,markStack(int; AstNode)
guidsl.AstNode.markStack(),4,Method,guidsl,AstNode,markStack(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,markStack()
guidsl.AstNode.patch(),4,Method,guidsl,AstNode,patch(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,patch()
guidsl.AstNode.toString(),4,Method,guidsl,AstNode,toString(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,toString()
guidsl.AstProperties,2,Class,guidsl,AstProperties,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.AstProperties.setProperty(String key; Object value),4,Method,guidsl,AstProperties,setProperty(String key; Object value),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,setProperty(String; Object)
guidsl.AstNode.print(AstProperties props),4,Method,guidsl,AstNode,print(AstProperties props),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,print(AstProperties)
guidsl.AstNode.safeCopy(AstNode it),4,Method,guidsl,AstNode,safeCopy(AstNode it),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,safeCopy(AstNode)
guidsl.kernelConstants,2,Class,guidsl,kernelConstants,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.kernelConstants.copyLists,3,Field,guidsl,kernelConstants,copyLists,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.AstList,2,Class,guidsl,AstList,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.AstNode.clone(),4,Method,guidsl,AstNode,clone(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,clone()
guidsl.AstNode.copy(AstNode it),4,Method,guidsl,AstNode,copy(AstNode it),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,copy(AstNode)
guidsl.AstNode.fatalError(String msg),4,Method,guidsl,AstNode,fatalError(String msg),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,fatalError(String)
guidsl.AstNode.initClone(AstNode copy),4,Method,guidsl,AstNode,initClone(AstNode copy),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,protected,initClone(AstNode)
guidsl.AstTokenInterface.clone(),4,Method,guidsl,AstTokenInterface,clone(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,clone()
guidsl.AstNode.hasAncestor(String classname),4,Method,guidsl,AstNode,hasAncestor(String classname),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,hasAncestor(String)
guidsl.kernelConstants.debugAST,3,Field,guidsl,kernelConstants,debugAST,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.AstNode.PrettyDump(),4,Method,guidsl,AstNode,PrettyDump(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,PrettyDump()
guidsl.AstNode.PDump(String indent),4,Method,guidsl,AstNode,PDump(String indent),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,PDump(String)
guidsl.AstNode.className(),4,Method,guidsl,AstNode,className(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,className()
guidsl.AstNode.Replace(AstNode withnode),4,Method,guidsl,AstNode,Replace(AstNode withnode),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,Replace(AstNode)
guidsl.AstNode.ReplaceRef(AstNode oldnode; AstNode newnode),4,Method,guidsl,AstNode,ReplaceRef(AstNode oldnode; AstNode newnode),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,ReplaceRef(AstNode; AstNode)
guidsl.AstNode.print(),4,Method,guidsl,AstNode,print(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,print()
guidsl.AstTokenInterface.print(),4,Method,guidsl,AstTokenInterface,print(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,print()
guidsl.AstTokenInterface.print(AstProperties props),4,Method,guidsl,AstTokenInterface,print(AstProperties props),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,print(AstProperties)
guidsl.AstNode.reduce2java(AstProperties props),4,Method,guidsl,AstNode,reduce2java(AstProperties props),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,reduce2java(AstProperties)
guidsl.AstTokenInterface.reduce2java(AstProperties props),4,Method,guidsl,AstTokenInterface,reduce2java(AstProperties props),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,reduce2java(AstProperties)
guidsl.AstNode.Print_Only_Tokens(AstProperties props),4,Method,guidsl,AstNode,Print_Only_Tokens(AstProperties props),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,Print_Only_Tokens(AstProperties)
guidsl.AstNode.Print_Only_Tokens(),4,Method,guidsl,AstNode,Print_Only_Tokens(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,Print_Only_Tokens()
guidsl.AstNode.instanceOf(Class myclass),4,Method,guidsl,AstNode,instanceOf(Class myclass),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,instanceOf(Class)
guidsl.AstNode.instanceOf(Object obj),4,Method,guidsl,AstNode,instanceOf(Object obj),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,instanceOf(Object)
guidsl.AstNode.instanceOf(String class_name),4,Method,guidsl,AstNode,instanceOf(String class_name),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,instanceOf(String)
guidsl.kernelConstants.LangName,3,Field,guidsl,kernelConstants,LangName,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.kernelConstants.globals(),4,Method,guidsl,kernelConstants,globals(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,globals()
guidsl.AstNode.Equ(AstNode x),4,Method,guidsl,AstNode,Equ(AstNode x),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,Equ(AstNode)
guidsl.AstTokenInterface.Equ(AstTokenInterface x),4,Method,guidsl,AstTokenInterface,Equ(AstTokenInterface x),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,Equ(AstTokenInterface)
guidsl.AstNode.dumpnode(),4,Method,guidsl,AstNode,dumpnode(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,dumpnode()
guidsl.AstList.last,3,Field,guidsl,AstList,last,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.AstNode.Delete(),4,Method,guidsl,AstNode,Delete(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,Delete()
guidsl.AstOptNode,2,Class,guidsl,AstOptNode,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.AstListNode.Delete(),4,Method,guidsl,AstListNode,Delete(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,Delete()
guidsl.AstOptNode.Delete(),4,Method,guidsl,AstOptNode,Delete(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,Delete()
guidsl.AstNode.AddAfter(AstList tree),4,Method,guidsl,AstNode,AddAfter(AstList tree),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,AddAfter(AstList)
guidsl.AstListNode.AddAfter(AstList tree),4,Method,guidsl,AstListNode,AddAfter(AstList tree),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,AddAfter(AstList)
guidsl.AstNode.AddBefore(AstList tree),4,Method,guidsl,AstNode,AddBefore(AstList tree),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,AddBefore(AstList)
guidsl.AstListNode.AddBefore(AstList tree),4,Method,guidsl,AstListNode,AddBefore(AstList tree),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,AddBefore(AstList)
guidsl.AstNode.addComment(String comment),4,Method,guidsl,AstNode,addComment(String comment),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,addComment(String)
guidsl.AstNode.addComment(String comment; boolean replace),4,Method,guidsl,AstNode,addComment(String comment; boolean replace),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,addComment(String; boolean)
guidsl.AstToken.white_space,3,Field,guidsl,AstToken,white_space,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.AstOptToken,2,Class,guidsl,AstOptToken,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.AstOptToken.addComment(String comment; boolean replace),4,Method,guidsl,AstOptToken,addComment(String comment; boolean replace),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,addComment(String; boolean)
guidsl.AstNode.addComment(AstNode ast; String comment),4,Method,guidsl,AstNode,addComment(AstNode ast; String comment),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,addComment(AstNode; String)
guidsl.AstNode.addComment(AstNode ast; String comment; boolean replace),4,Method,guidsl,AstNode,addComment(AstNode ast; String comment; boolean replace),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,addComment(AstNode; String; boolean)
guidsl.AstNode.normalizeTree(AstNode parnt),4,Method,guidsl,AstNode,normalizeTree(AstNode parnt),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,normalizeTree(AstNode)
guidsl.AstNode.normalize(),4,Method,guidsl,AstNode,normalize(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,normalize()
guidsl.AstNode.Detach(),4,Method,guidsl,AstNode,Detach(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,Detach()
guidsl.AstNode.writeTree(String fileName),4,Method,guidsl,AstNode,writeTree(String fileName),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,writeTree(String)
guidsl.AstNode.eformat(String msg),4,Method,guidsl,AstNode,eformat(String msg),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,private,eformat(String)
guidsl.kernelConstants.PackageName,3,Field,guidsl,kernelConstants,PackageName,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.kernelConstants.currentFileName,3,Field,guidsl,kernelConstants,currentFileName,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.AstNode.report(String msg),4,Method,guidsl,AstNode,report(String msg),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,report(String)
