Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier,Method_Signature,Earliest_bound,Latest_bound,CodeAnnotation,LOC,FWBelongLevel,NeedsLocalConstructor
searchtaskgang.OneShotExecutorService.MAX_THREADS,3,Field,searchtaskgang,OneShotExecutorService,MAX_THREADS,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected final ,,FRAMEWORK,PLUGIN,null,4,1,false
searchtaskgang.OneShotExecutorService.initiateHook(int inputSize),4,Method,searchtaskgang,OneShotExecutorService,initiateHook(int inputSize),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,initiateHook(int),FRAMEWORK,PLUGIN,@Override,20,1,false
searchtaskgang.TaskGang<java.lang.String>,2,Class,searchtaskgang,TaskGang<java.lang.String>,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,searchtaskgang.TaskGang<java.lang.String>; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,public abstract ,,FRAMEWORK,FRAMEWORK,null,0,1,false
searchtaskgang.OneShotExecutorService.initiateTaskGang(int inputSize),4,Method,searchtaskgang,OneShotExecutorService,initiateTaskGang(int inputSize),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,initiateTaskGang(int),FRAMEWORK,PLUGIN,null,32,1,false
searchtaskgang.OneShotExecutorService.processInput(String inputData),4,Method,searchtaskgang,OneShotExecutorService,processInput(String inputData),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,processInput(String),FRAMEWORK,PLUGIN,@Override,18,1,false
searchtaskgang.SearchTaskGangCommon.mWordsToFind,3,Field,searchtaskgang,SearchTaskGangCommon,mWordsToFind,FRAMEWORK,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.SearchTaskGangCommon.mWordsToFind; BttF says it's a child of searchtaskgang.SearchTaskGangCommon THEN it also is fprivate of FRAMEWORK   searchtaskgang.SearchTaskGangCommon.mWordsToFind; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,protected final ,,FRAMEWORK,PLUGIN,null,4,1,false
searchtaskgang.OneShotExecutorService.queueResults(SearchResults results),4,Method,searchtaskgang,OneShotExecutorService,queueResults(SearchResults results),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,queueResults(SearchResults),FRAMEWORK,PLUGIN,null,7,1,false
searchtaskgang.SearchTaskGangCommon.searchForWord(String word; String inputData),4,Method,searchtaskgang,SearchTaskGangCommon,searchForWord(String word; String inputData),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,searchtaskgang.SearchTaskGangCommon.searchForWord(String word; String inputData); BttF says it's a child of searchtaskgang.SearchTaskGangCommon THEN it also is fprivate of FRAMEWORK   ,,protected ,searchForWord(String; String),FRAMEWORK,PLUGIN,null,24,1,false
searchtaskgang.OneShotExecutorService.taskDone(int index),4,Method,searchtaskgang,OneShotExecutorService,taskDone(int index),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,taskDone(int),FRAMEWORK,PLUGIN,@Override,11,1,false
searchtaskgang.OneShotExecutorService.getQueue(),4,Method,searchtaskgang,OneShotExecutorService,getQueue(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,getQueue(),FRAMEWORK,PLUGIN,null,6,1,false
searchtaskgang.OneShotExecutorService.processQueuedResults(final int resultCount),4,Method,searchtaskgang,OneShotExecutorService,processQueuedResults(final int resultCount),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,processQueuedResults(int),FRAMEWORK,PLUGIN,null,35,1,false
searchtaskgang.OneShotExecutorService.setQueue(BlockingQueue<SearchResults> q),4,Method,searchtaskgang,OneShotExecutorService,setQueue(BlockingQueue<SearchResults> q),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,setQueue(BlockingQueue<SearchResults>),FRAMEWORK,PLUGIN,null,8,1,false
searchtaskgang.SearchResults.mThreadId,3,Field,searchtaskgang,SearchResults,mThreadId,FRAMEWORK,TRUE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,4,1,false
searchtaskgang.SearchResults.mWord,3,Field,searchtaskgang,SearchResults,mWord,FRAMEWORK,TRUE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,4,1,false
searchtaskgang.SearchResults.mInputData,3,Field,searchtaskgang,SearchResults,mInputData,FRAMEWORK,TRUE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,4,1,false
searchtaskgang.SearchResults.mCycle,3,Field,searchtaskgang,SearchResults,mCycle,FRAMEWORK,TRUE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,4,1,false
searchtaskgang.SearchResults.mList,3,Field,searchtaskgang,SearchResults,mList,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,searchtaskgang.SearchResults.mList; BttF says since it calls fprivate searchtaskgang.Result THEN it also belongs to FRAMEWORK   ,,protected ,,FRAMEWORK,PLUGIN,null,4,1,false
searchtaskgang.Result,2,Class,searchtaskgang,Result,,FRAMEWORK,TRUE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,0,1,false
searchtaskgang.SearchResults.SearchResults(),5,Constructor,searchtaskgang,SearchResults,SearchResults(),FRAMEWORK,TRUE,FALSE,,TRUE,FALSE,,,public ,SearchResults(),FRAMEWORK,PLUGIN,null,7,1,false
searchtaskgang.SearchResults.SearchResults(long threadId; long cycle; String word; String inputData),5,Constructor,searchtaskgang,SearchResults,SearchResults(long threadId; long cycle; String word; String inputData),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,searchtaskgang.SearchResults.SearchResults(long threadId; long cycle; String word; String inputData); BttF says since it calls fprivate searchtaskgang.Result THEN it also belongs to FRAMEWORK   ,,public ,SearchResults(long; long; String; String),FRAMEWORK,FRAMEWORK,null,13,1,false
searchtaskgang.SearchResults.toString(),4,Method,searchtaskgang,SearchResults,toString(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,searchtaskgang.SearchResults.toString(); BttF says since it calls fprivate searchtaskgang.SearchResults.mCycle THEN it also belongs to FRAMEWORK   ,,public ,toString(),FRAMEWORK,FRAMEWORK,null,14,1,false
searchtaskgang.SearchResults.add(int index),4,Method,searchtaskgang,SearchResults,add(int index),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,searchtaskgang.SearchResults.add(int index); BttF says since it calls fprivate searchtaskgang.Result THEN it also belongs to FRAMEWORK   searchtaskgang.SearchResults.add(int index); BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,public ,add(int),FRAMEWORK,FRAMEWORK,null,6,1,false
searchtaskgang.SearchResults.isEmpty(),4,Method,searchtaskgang,SearchResults,isEmpty(),FRAMEWORK,TRUE,FALSE,,TRUE,FALSE,,,public ,isEmpty(),FRAMEWORK,PLUGIN,null,6,1,false
searchtaskgang.SearchResults.print(),4,Method,searchtaskgang,SearchResults,print(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,searchtaskgang.SearchResults.print(); BttF says since it calls fprivate searchtaskgang.Result.mIndex THEN it also belongs to FRAMEWORK   ,,,print(),FRAMEWORK,FRAMEWORK,null,16,1,false
searchtaskgang.Result.mIndex,3,Field,searchtaskgang,Result,mIndex,FRAMEWORK,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.Result.mIndex; BttF says it's a child of searchtaskgang.Result THEN it also is fprivate of FRAMEWORK   ,,public ,,FRAMEWORK,PLUGIN,null,5,1,false
searchtaskgang.OneShotExecutorServiceFuture,2,Class,searchtaskgang,OneShotExecutorServiceFuture,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,103,1,false
searchtaskgang.OneShotExecutorServiceFuture.OneShotExecutorServiceFuture(String[] wordsToFind; String[][] stringsToSearch),5,Constructor,searchtaskgang,OneShotExecutorServiceFuture,OneShotExecutorServiceFuture(String[] wordsToFind; String[][] stringsToSearch),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,OneShotExecutorServiceFuture(String[]; String[][]),FRAMEWORK,PLUGIN,null,13,1,false
searchtaskgang.OneShotExecutorServiceFuture.mResultFutures,3,Field,searchtaskgang,OneShotExecutorServiceFuture,mResultFutures,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,,FRAMEWORK,PLUGIN,null,4,1,false
searchtaskgang.OneShotExecutorServiceFuture.initiateTaskGang(int inputSize),4,Method,searchtaskgang,OneShotExecutorServiceFuture,initiateTaskGang(int inputSize),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,initiateTaskGang(int),FRAMEWORK,PLUGIN,null,20,1,false
searchtaskgang.OneShotExecutorServiceFuture.processInput(final String inputData),4,Method,searchtaskgang,OneShotExecutorServiceFuture,processInput(final String inputData),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,processInput(String),FRAMEWORK,PLUGIN,null,31,1,false
searchtaskgang.OneShotExecutorServiceFuture.processFutureResults(List<Future<SearchResults>> resultFutures),4,Method,searchtaskgang,OneShotExecutorServiceFuture,processFutureResults(List<Future<SearchResults>> resultFutures),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,processFutureResults(List<Future<SearchResults>>),FRAMEWORK,PLUGIN,null,17,1,false
searchtaskgang.SearchTaskGangCommon.mInputIterator,3,Field,searchtaskgang,SearchTaskGangCommon,mInputIterator,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,searchtaskgang.SearchTaskGangCommon.mInputIterator; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,private final ,,FRAMEWORK,PLUGIN,null,4,1,false
searchtaskgang.SearchTaskGangCommon.getNextInput(),4,Method,searchtaskgang,SearchTaskGangCommon,getNextInput(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,searchtaskgang.SearchTaskGangCommon.getNextInput(); BttF says it's a child of searchtaskgang.SearchTaskGangCommon THEN it also is fprivate of FRAMEWORK   ,,protected ,getNextInput(),FRAMEWORK,FRAMEWORK,@Override,19,1,false
searchtaskgang.TaskGangTest,2,Class,searchtaskgang,TaskGangTest,,PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,87,2,false
searchtaskgang.TaskGangTest.mWordList,3,Field,searchtaskgang,TaskGangTest,mWordList,PLUGIN,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.TaskGangTest.mWordList; BttF says it's a child of searchtaskgang.TaskGangTest THEN it also is fprivate of PLUGIN   ,,private final static ,,PLUGIN,PLUGIN,null,11,2,false
searchtaskgang.TaskGangTest.mOneShotInputStrings,3,Field,searchtaskgang,TaskGangTest,mOneShotInputStrings,PLUGIN,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.TaskGangTest.mOneShotInputStrings; BttF says it's a child of searchtaskgang.TaskGangTest THEN it also is fprivate of PLUGIN   ,,private final static ,,PLUGIN,PLUGIN,null,7,2,false
searchtaskgang.TaskGangTest.diagnosticsEnabled,3,Field,searchtaskgang,TaskGangTest,diagnosticsEnabled,PLUGIN,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.TaskGangTest.diagnosticsEnabled; BttF says it's a child of searchtaskgang.TaskGangTest THEN it also is fprivate of PLUGIN   ,,public static ,,PLUGIN,PLUGIN,null,5,2,false
searchtaskgang.TaskGangTest.printDebugging(String output),4,Method,searchtaskgang,TaskGangTest,printDebugging(String output),PLUGIN,FALSE,TRUE,,TRUE,FALSE,searchtaskgang.TaskGangTest.printDebugging(String output); BttF says since it calls fprivate searchtaskgang.TaskGangTest.diagnosticsEnabled THEN it also belongs to PLUGIN   ,,private static ,printDebugging(String),PLUGIN,PLUGIN,null,7,2,false
searchtaskgang.TaskGangTest.makeTaskGang(String[] wordList; TestsToRun choice),4,Method,searchtaskgang,TaskGangTest,makeTaskGang(String[] wordList; TestsToRun choice),PLUGIN,FALSE,TRUE,,TRUE,FALSE,searchtaskgang.TaskGangTest.makeTaskGang(String[] wordList; TestsToRun choice); BttF says since it calls fprivate searchtaskgang.TaskGangTest.mOneShotInputStrings THEN it also belongs to PLUGIN   ,,private static ,makeTaskGang(String[]; TestsToRun),PLUGIN,PLUGIN,null,22,2,false
searchtaskgang.TestsToRun,2,Class,searchtaskgang,TestsToRun,,PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,final ,,FRAMEWORK,PLUGIN,null,0,2,false
searchtaskgang.TestsToRun.ONESHOT_THREAD_PER_TASK,3,Field,searchtaskgang,TestsToRun,ONESHOT_THREAD_PER_TASK,PLUGIN,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.TestsToRun.ONESHOT_THREAD_PER_TASK; BttF says it's a child of searchtaskgang.TestsToRun THEN it also is fprivate of PLUGIN   searchtaskgang.TestsToRun.ONESHOT_THREAD_PER_TASK; BttF says it's a member of an Enum searchtaskgang.TestsToRun THEN it also has to belong to PLUGIN   ,,public final static ,,PLUGIN,PLUGIN,null,1,2,false
searchtaskgang.OneShotThreadPerTask,2,Class,searchtaskgang,OneShotThreadPerTask,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,19,1,false
searchtaskgang.TestsToRun.ONESHOT_EXECUTOR_SERVICE,3,Field,searchtaskgang,TestsToRun,ONESHOT_EXECUTOR_SERVICE,PLUGIN,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.TestsToRun.ONESHOT_EXECUTOR_SERVICE; BttF says it's a child of searchtaskgang.TestsToRun THEN it also is fprivate of PLUGIN   searchtaskgang.TestsToRun.ONESHOT_EXECUTOR_SERVICE; BttF says it's a member of an Enum searchtaskgang.TestsToRun THEN it also has to belong to PLUGIN   ,,public final static ,,PLUGIN,PLUGIN,null,1,2,false
searchtaskgang.TestsToRun.ONESHOT_EXECUTOR_SERVICE_FUTURE,3,Field,searchtaskgang,TestsToRun,ONESHOT_EXECUTOR_SERVICE_FUTURE,PLUGIN,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.TestsToRun.ONESHOT_EXECUTOR_SERVICE_FUTURE; BttF says it's a child of searchtaskgang.TestsToRun THEN it also is fprivate of PLUGIN   searchtaskgang.TestsToRun.ONESHOT_EXECUTOR_SERVICE_FUTURE; BttF says it's a member of an Enum searchtaskgang.TestsToRun THEN it also has to belong to PLUGIN   ,,public final static ,,PLUGIN,PLUGIN,null,1,2,false
searchtaskgang.TestsToRun.ONESHOT_EXECUTOR_COMPLETION_SERVICE,3,Field,searchtaskgang,TestsToRun,ONESHOT_EXECUTOR_COMPLETION_SERVICE,PLUGIN,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.TestsToRun.ONESHOT_EXECUTOR_COMPLETION_SERVICE; BttF says it's a child of searchtaskgang.TestsToRun THEN it also is fprivate of PLUGIN   searchtaskgang.TestsToRun.ONESHOT_EXECUTOR_COMPLETION_SERVICE; BttF says it's a member of an Enum searchtaskgang.TestsToRun THEN it also has to belong to PLUGIN   ,,public final static ,,PLUGIN,PLUGIN,null,1,2,false
searchtaskgang.OneShotExecutorCompletionService,2,Class,searchtaskgang,OneShotExecutorCompletionService,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,104,1,false
searchtaskgang.TaskGangTest.main(String[] args),4,Method,searchtaskgang,TaskGangTest,main(String[] args),PLUGIN,FALSE,TRUE,,TRUE,FALSE,searchtaskgang.TaskGangTest.main(String[] args); BttF says since it calls fprivate searchtaskgang.TaskGangTest.mWordList THEN it also belongs to PLUGIN   ,,public static ,main(String[]),PLUGIN,PLUGIN,null,19,2,false
searchtaskgang.OneShotExecutorCompletionService.OneShotExecutorCompletionService(String[] wordsToFind; String[][] stringsToSearch),5,Constructor,searchtaskgang,OneShotExecutorCompletionService,OneShotExecutorCompletionService(String[] wordsToFind; String[][] stringsToSearch),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,OneShotExecutorCompletionService(String[]; String[][]),FRAMEWORK,PLUGIN,null,18,1,false
searchtaskgang.OneShotExecutorCompletionService.mCompletionService,3,Field,searchtaskgang,OneShotExecutorCompletionService,mCompletionService,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,,FRAMEWORK,PLUGIN,null,5,1,false
searchtaskgang.OneShotExecutorCompletionService.initiateTaskGang(int inputSize),4,Method,searchtaskgang,OneShotExecutorCompletionService,initiateTaskGang(int inputSize),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,initiateTaskGang(int),FRAMEWORK,PLUGIN,null,14,1,false
searchtaskgang.OneShotExecutorCompletionService.concurrentlyProcessQueuedFutures(),4,Method,searchtaskgang,OneShotExecutorCompletionService,concurrentlyProcessQueuedFutures(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,concurrentlyProcessQueuedFutures(),FRAMEWORK,PLUGIN,null,26,1,false
searchtaskgang.OneShotExecutorCompletionService.processInput(final String inputData),4,Method,searchtaskgang,OneShotExecutorCompletionService,processInput(final String inputData),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,processInput(String),FRAMEWORK,PLUGIN,null,24,1,false
searchtaskgang.OneShotThreadPerTask.OneShotThreadPerTask(String[] wordsToFind; String[][] stringsToSearch),5,Constructor,searchtaskgang,OneShotThreadPerTask,OneShotThreadPerTask(String[] wordsToFind; String[][] stringsToSearch),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,OneShotThreadPerTask(String[]; String[][]),FRAMEWORK,PLUGIN,null,12,1,false
searchtaskgang.OneShotThreadPerTask.awaitTasksDone(),4,Method,searchtaskgang,OneShotThreadPerTask,awaitTasksDone(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,awaitTasksDone(),FRAMEWORK,PLUGIN,null,12,1,false
searchtaskgang.OneShotThreadPerTask.mWorkerThreads,3,Field,searchtaskgang,OneShotThreadPerTask,mWorkerThreads,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,private ,,FRAMEWORK,PLUGIN,null,4,1,false
searchtaskgang.OneShotThreadPerTask.initiateTaskGang(int inputSize),4,Method,searchtaskgang,OneShotThreadPerTask,initiateTaskGang(int inputSize),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,initiateTaskGang(int),FRAMEWORK,PLUGIN,null,21,1,false
searchtaskgang.OneShotThreadPerTask.processInput(String inputData),4,Method,searchtaskgang,OneShotThreadPerTask,processInput(String inputData),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,processInput(String),FRAMEWORK,PLUGIN,@Override,23,1,false
searchtaskgang.TaskGang,2,Class,searchtaskgang,TaskGang,,FRAMEWORK,TRUE,FALSE,,TRUE,FALSE,,,public abstract ,,FRAMEWORK,PLUGIN,null,29,1,false
searchtaskgang.TaskGang.mInput,3,Field,searchtaskgang,TaskGang,mInput,FRAMEWORK,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.TaskGang.mInput; BttF says it's a child of searchtaskgang.TaskGang THEN it also is fprivate of FRAMEWORK   ,,private ,,FRAMEWORK,PLUGIN,null,5,1,false
searchtaskgang.TaskGang.mExecutor,3,Field,searchtaskgang,TaskGang,mExecutor,FRAMEWORK,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.TaskGang.mExecutor; BttF says it's a child of searchtaskgang.TaskGang THEN it also is fprivate of FRAMEWORK   ,,private ,,FRAMEWORK,PLUGIN,null,4,1,false
searchtaskgang.TaskGang.mCurrentCycle,3,Field,searchtaskgang,TaskGang,mCurrentCycle,FRAMEWORK,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.TaskGang.mCurrentCycle; BttF says it's a child of searchtaskgang.TaskGang THEN it also is fprivate of FRAMEWORK   ,,private final ,,FRAMEWORK,PLUGIN,null,5,1,false
searchtaskgang.TaskGang.getInput(),4,Method,searchtaskgang,TaskGang,getInput(),FRAMEWORK,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.TaskGang.getInput(); BttF says it's a child of searchtaskgang.TaskGang THEN it also is fprivate of FRAMEWORK   ,,protected ,getInput(),FRAMEWORK,FRAMEWORK,null,6,1,false
searchtaskgang.TaskGang<String>,2,Class,searchtaskgang,TaskGang<String>,,FRAMEWORK,TRUE,FALSE,,FALSE,FALSE,,,public abstract ,,FRAMEWORK,PLUGIN,null,0,1,false
searchtaskgang.TaskGang<String>.mInput,3,Field,searchtaskgang,TaskGang<String>,mInput,FRAMEWORK,TRUE,FALSE,,TRUE,FALSE,,,private ,,FRAMEWORK,PLUGIN,null,0,1,false
searchtaskgang.TaskGang.setInput(List<String> input),4,Method,searchtaskgang,TaskGang,setInput(List<String> input),FRAMEWORK,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.TaskGang.setInput(List<String> input); BttF says it's a child of searchtaskgang.TaskGang THEN it also is fprivate of FRAMEWORK   ,,protected ,setInput(List<String>),FRAMEWORK,FRAMEWORK,null,6,1,false
searchtaskgang.TaskGang.setExecutor(Executor executor),4,Method,searchtaskgang,TaskGang,setExecutor(Executor executor),FRAMEWORK,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.TaskGang.setExecutor(Executor executor); BttF says it's a child of searchtaskgang.TaskGang THEN it also is fprivate of FRAMEWORK   ,,protected ,setExecutor(Executor),FRAMEWORK,FRAMEWORK,null,6,1,false
searchtaskgang.TaskGang<String>.mExecutor,3,Field,searchtaskgang,TaskGang<String>,mExecutor,FRAMEWORK,TRUE,FALSE,,TRUE,FALSE,,,private ,,FRAMEWORK,PLUGIN,null,0,1,false
searchtaskgang.TaskGang.getExecutor(),4,Method,searchtaskgang,TaskGang,getExecutor(),FRAMEWORK,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.TaskGang.getExecutor(); BttF says it's a child of searchtaskgang.TaskGang THEN it also is fprivate of FRAMEWORK   ,,protected ,getExecutor(),FRAMEWORK,FRAMEWORK,null,6,1,false
searchtaskgang.TaskGang.incrementCycle(),4,Method,searchtaskgang,TaskGang,incrementCycle(),FRAMEWORK,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.TaskGang.incrementCycle(); BttF says it's a child of searchtaskgang.TaskGang THEN it also is fprivate of FRAMEWORK   ,,protected ,incrementCycle(),FRAMEWORK,FRAMEWORK,null,6,1,false
searchtaskgang.TaskGang<String>.mCurrentCycle,3,Field,searchtaskgang,TaskGang<String>,mCurrentCycle,FRAMEWORK,TRUE,FALSE,,TRUE,FALSE,,,private final ,,FRAMEWORK,PLUGIN,null,0,1,false
searchtaskgang.TaskGang.currentCycle(),4,Method,searchtaskgang,TaskGang,currentCycle(),FRAMEWORK,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.TaskGang.currentCycle(); BttF says it's a child of searchtaskgang.TaskGang THEN it also is fprivate of FRAMEWORK   ,,protected ,currentCycle(),FRAMEWORK,FRAMEWORK,null,6,1,false
searchtaskgang.TaskGang.getNextInput(),4,Method,searchtaskgang,TaskGang,getNextInput(),FRAMEWORK,TRUE,TRUE,,TRUE,FALSE,searchtaskgang.TaskGang.getNextInput(); BttF says it's a child of searchtaskgang.TaskGang THEN it also is fprivate of FRAMEWORK   ,,protected abstract ,getNextInput(),FRAMEWORK,FRAMEWORK,null,5,1,false
searchtaskgang.TaskGang.initiateHook(int inputSize),4,Method,searchtaskgang,TaskGang,initiateHook(int inputSize),FRAMEWORK,TRUE,FALSE,,TRUE,FALSE,searchtaskgang.TaskGang.initiateHook(int inputSize); BttF says it's a child of searchtaskgang.TaskGang THEN it also is fprivate of FRAMEWORK   ,,protected ,initiateHook(int),FRAMEWORK,FRAMEWORK,null,8,1,false
